consumer_id,status,data_points,rmse,mae
-9222139347969440576,success,585,5370.653232968207,3745.216068316673
-9221461375508465680,success,603,32283.28724405738,16139.036449819401
-9218897264943832576,success,491,10495.263568950113,8343.888183835625
-9218810998151410496,success,554,5243.369726562184,3305.3019823800564
-9218171150999112048,success,644,8309.13424867713,4511.263308181944
-9217897175181194576,success,646,3556.5860448832227,1533.2998492995716
-9216353055263626816,success,620,20268.327958228332,8301.771283892112
-9215226654528943408,success,639,4563.442155565465,2829.352724241436
-9215092980994746096,success,597,24030.059913493187,12084.516659093752
-9214273072078862160,success,131,2124.683987328353,1755.3054596889183
